entry_id,policy_id,country,region_scale,region,policy_type,policy_sub_type,policy_measure,policy_scope,target_region_scale,target_region,target_direction,compliance,enforcer,record_type,date_announce,date_start,date_end,date_end_type,event_description,source type,link,created_by,verified_by,verification_notes,verified_by_et,verification_notes_et,verification_status,verification_update
P5a,P5,China,municipal,Beijing,Individual,Wearing a mask,,general_public,,,,mandatory,community,new,1/30/2020,1/30/2020,,unknown,"People should wear masks when entering and leaving the community, and the community (Village) should be supervised and reminded.",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200130_1621608.html,Puxi,Xinyi,,,,,
P5b,P5,China,municipal,Beijing,Individual,Performing hand hygiene,,general_public,,,,recommended,community,new,1/30/2020,1/30/2020,,unknown,Urge individuals not to shake hands and wash hands frequently,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200130_1621608.html,Puxi,Xinyi,,,,,
P5c,P5,China,municipal,Beijing,Individual,Using other PPE,,general_public,,,,recommended,community,new,1/30/2020,1/30/2020,,unknown,Supervise and urge families to open windows for ventilation and strengthen daily cleaning and disinfection when air quality permits,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200130_1621608.html,Puxi,Xinyi,,,,,
P5d,P5,China,municipal,Beijing,Gatherings,L4 - Mass gatherings,L3 - Cancellation,,,,,mandatory,community,new,1/30/2020,1/30/2020,,unknown,The community (Village) does not organize large-scale public gathering activities,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200130_1621608.html,Puxi,Xinyi,,,,,
P5e,P5,China,municipal,Beijing,Gatherings,L3 - Public gatherings,L3 - Cancellation,,,,,recommended,municipal_government,new,1/30/2020,1/30/2020,,unknown,"When necessary, it can stop the market, assembly and other crowd gathering activities in the community (Village), and close public places such as cinemas and Internet cafes.",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200130_1621608.html,Puxi,Xinyi,,,,,
P5f,P5,China,municipal,Beijing,Gatherings,L1 - Private gatherings at home,L2 - Restriction,,,,,recommended,community,new,1/30/2020,1/30/2020,,unknown,Reduce family gatherings,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200130_1621608.html,Puxi,Xinyi,,,,,
P5g,P5,China,municipal,Beijing,Businesses and Institutions,Business and institution adaptations,L5 - Closing,theaters,,,,mandatory,municipal_government,new,1/30/2020,1/30/2020,,unknown,Closing the cinema,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200130_1621608.html,Puxi,Xinyi,policy_scope update as entertainment,TRUE,Should cinema fall into another category? Have they reopened?,update,replacement added
P6a,P6,China,municipal,Beijing,Offices,Office adaptations,L5 - Closing,all_offices,,,,mandatory,municipal_government,extension,1/31/2020,1/31/2020,2/10/2020,date_announced,"Qualified enterprises shall arrange employees to finish their work at home through telephone, Internet and other means",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200131_1622070.html,Puxi,Xinyi,,,,,
P7a,P7,China,municipal,Beijing,Gatherings,L3 - Public gatherings,L3 - Cancellation,,,,,mandatory,municipal_government,new,1/31/2020,1/31/2020,,event_announced,"During the period of the epidemic, public and operational human resource service agencies at all levels in the city suspended the organization of local on-site recruitment activities",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200131_1622074.html,Puxi,Xinyi,,,,,
P8a,P8,China,municipal,Beijing,Individual,Wearing a mask,,general_public,,,,mandatory,community,new,2/1/2020,2/1/2020,,unknown,The guard at the entrance and exit of the community should wear masks when working,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200201_1622573.html,Puxi,Xinyi,,TRUE,recommend deleting because subpopulation,delete,
P9a,P9,China,municipal,Beijing,Businesses and Institutions,Business and institution adaptations,L1 - hygiene,restaurants,,,,mandatory,municipal_government,new,2/10/2020,2/10/2020,,unknown,The catering service operators in the whole city should strictly perform the standard operation according to the requirements of the food safety operation specification for catering service,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200224_1666947.html,Puxi,Xinyi,,TRUE,suggest removing because catering only (subpopulation),delete,
P10a,P10,China,municipal,Beijing,Domestic travel,Stay at home,L2 - All day,all_visitors,,,,mandatory,police,new,2/10/2020,2/10/2020,,unknown,"Within 14 days before arriving in Beijing, those who leave the high incidence areas or have contact history with people in the high incidence areas shall not go out",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200210_1627106.html,Puxi,Xinyi,,,,,
P10b,P10,China,municipal,Beijing,Gatherings,L2 - Private gatherings outside home,L3 - Cancellation,,,,,recommended,community,new,2/10/2020,2/10/2020,,unknown,People should reduce going out activities and not participate in parties and group activities,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200210_1627107.html,Puxi,Xinyi,,,,,
P10c,P10,China,municipal,Beijing,Gatherings,L3 - Public gatherings,L3 - Cancellation,,,,,mandatory,community,new,2/10/2020,2/10/2020,,unknown,"All public places, such as recreational rooms and recreational rooms, which are not necessary for life in the community (Village), shall be closed.",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200210_1627107.html,Puxi,Xinyi,,,,,
P11a,P11,China,municipal,Beijing,Offices,Office adaptations,L1 - hygiene,all_offices,,,,mandatory,municipal_government,new,2/11/2020,2/11/2020,,unknown,All municipal enterprises should strictly organize disinfection and safety inspection after returning to work.,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200211_1628134.html,Puxi,Xinyi,,,,,
P11a,P11,China,municipal,Beijing,Offices,Office adaptations,L4 - Modifying hours,all_offices,,,,mandatory,municipal_government,new,2/11/2020,2/11/2020,,unknown,"If conditions permit, the municipal enterprises should implement the flexible working system and adopt the methods of remote office, wrong time, wrong peak and shift to work.",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200211_1628134.html,Puxi,Xinyi,,,,,
P11b,P11,China,municipal,Beijing,Offices,Office adaptations,L3 - Limiting numbers,all_offices,,,,mandatory,municipal_government,new,2/11/2020,2/11/2020,,unknown,"If conditions permit, the municipal enterprises should implement the flexible working system and adopt the methods of remote office, wrong time, wrong peak and shift to work.",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200211_1628134.html,Puxi,Xinyi,,,,,
P11c,P11,China,municipal,Beijing,Offices,Office adaptations,L2 - Physical distancing,all_offices,,,,mandatory,municipal_government,new,2/11/2020,2/11/2020,,unknown,All municipal enterprises should strictly implement closed management of public places after returning to work,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200211_1628134.html,Puxi,Xinyi,,,,,
P12a,P12,China,municipal,Beijing,Businesses and Institutions,Business and institution adaptations,L1 - hygiene,restaurants,,,,mandatory,municipal_government,new,2/11/2020,2/11/2020,,unknown,Ensure the health of employees in restaurants and canteens. Keep dining environment clean and airy.,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200211_1628149.html,Puxi,Xinyi,,,,,
P12b,P12,China,municipal,Beijing,Businesses and Institutions,Business and institution adaptations,L3 - Limiting numbers,restaurants,,,,mandatory,municipal_government,new,2/11/2020,2/11/2020,,unknown,Restaurant attendance should be controlled below 50%,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200211_1628149.html,Puxi,Xinyi,,,,,
P13a,P13,China,municipal,Beijing,Individual,Wearing a mask,,general_public,,,,mandatory,health_ministry,new,1/30/2020,1/30/2020,,unknown,"Medical surgical masks, medical protective masks, goggles, isolation clothing and other protective articles shall be replaced in a timely manner.",Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202001/t20200130_1621783.html,Puxi,Xinyi,,TRUE,recommend deleting because subpopulation,delete,
P13b,P13,China,municipal,Beijing,Individual,Performing hand hygiene,,general_public,,,,mandatory,health_ministry,new,1/30/2020,1/30/2020,,unknown,"When using protective equipment correctly, wash hands before wearing gloves, and wash hands with flowing water immediately after removing gloves or isolation clothing.",Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202001/t20200130_1621783.html,Puxi,Xinyi,,TRUE,recommend deleting because subpopulation,delete,
P13c,P13,China,municipal,Beijing,Individual,Using other PPE,,general_public,,,,mandatory,health_ministry,new,1/30/2020,1/30/2020,,unknown,"Strictly implement the requirements of ""medical staff hand hygiene standard""",Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202001/t20200130_1621783.html,Puxi,Xinyi,,TRUE,consider deleting because announcement focused on subpopulation of healthcare workers,delete,
P14a,P14,China,municipal,Beijing,Individual,Wearing a mask,,general_public,,,,mandatory,health_ministry,new,2/2/2020,2/2/2020,,unknown,Personnel should wear disposable medical masks during the whole process of on-site investigation,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200202_1622819.html,Puxi,Xinyi,,TRUE,recommend deleting because subpopulation,delete,
P14b,P14,China,municipal,Beijing,Individual,Performing hand hygiene,,general_public,,,,mandatory,health_ministry,new,2/2/2020,2/2/2020,,unknown,"During on-site investigation, personnel should carry hand sanitizer and disposable gloves if possible",Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200202_1622819.html,Puxi,Xinyi,,TRUE,recommend deleting because subpopulation,delete,
P14c,P14,China,municipal,Beijing,Individual,Using other PPE,,general_public,,,,mandatory,health_ministry,new,2/2/2020,2/2/2020,,unknown,"If the mask is suspected to be contaminated, the removed mask should be sprinkled with 1000mg / L chlorine containing disinfectant solution until it is completely wet",Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200202_1622819.html,Puxi,Xinyi,,TRUE,"consider updating this to ""required"" wearing of mask",update,replacement added
P15a,P15,China,municipal,Beijing,Individual,Wearing a mask,,general_public,,,,recommended,health_ministry,new,2/2/2020,2/2/2020,,unknown,Guidelines for public wearing masks,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200202_1622813.html,Puxi,Xinyi,,,,,
P16a,P16,China,municipal,Beijing,Businesses and Institutions,Business and institution adaptations,L1 - hygiene,all_businesses,,,,recommended,health_ministry,new,2/4/2020,2/4/2020,,unknown,Guidelines for epidemic prevention and control in buildings and shopping malls,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200204_1624545.html,Puxi,Xinyi,,,,,
P17a,P17,China,municipal,Beijing,Gatherings,L1 - Private gatherings at home,L2 - Restriction,,,,,recommended,health_ministry,new,2/8/2020,2/8/2020,,unknown,Guidelines for prevention and control of residents in the community where the case is located,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200208_1626729.html,Puxi,Xinyi,,,,,
P-X1a,P-X1,China,national,China,Institutions,Institution adaptations,L1 - Hygene,traffic,,,,mandatory,municipal_government,new,01/24/2020,01/24/2020,,,Traffic institutions are required to take disinfection measures,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200130_1621703.html,,Xinyi,,TRUE,,new,new policies added after verification
P-X2a,P-X2,China,national,China,Gatherings,L1 - Private gatherings at home,L2 - Restriction,,,,,mandatory,municipal_government,new,01/28/2020,01/28/2020,,,Major events cancelled or postponed,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200129_1621500.html,,Xinyi,,TRUE,recommend updating L2 to L3,update,new policies added after verification
P-X2b,P-X2,China,national,China,Gatherings,L4 - Mass gatherings,L3 - Cancellation,,,,,recommended,municipal_government,new,01/28/2020,01/28/2020,,,The group meal is suggested to be cancelled,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200129_1621500.html,,Xinyi,,TRUE,,new,new policies added after verification
P1a,P1,China,municipal,Beijing,Offices,Office adaptations,L4 - Modifying hours,commercial,,,,recommended,municipal_government,new,1/23/2020,1/23/2020,,unknown,Enterprises can adopt the way of centralized work and centralized rest to maintain normal production and operation,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200124_1621272.html,Puxi,Xinyi,,TRUE,,replacement,update measure to L4
P2a,P2,China,municipal,Beijing,Businesses and Institutions,Business and institution adaptations,L5 - Closing,social welfare,,,,mandatory,municipal_government,new,1/26/2020,1/27/2020,,unknown,Implementation of closed management in pension institutions in the whole city,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200127_1621406.html,Puxi,Xinyi,,TRUE,,replacement,"updated scope to ""social wellfare"""
P5g,P5,China,municipal,Beijing,Businesses and Institutions,Business and institution adaptations,L5 - Closing,entertainment,,,,mandatory,municipal_government,new,1/30/2020,1/30/2020,,unknown,Closing the cinema,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200130_1621608.html,Puxi,Xinyi,,TRUE,,replacement,updated theaters to entertainment
P-X2a,P-X2,China,national,China,Gatherings,L1 - Private gatherings at home,L3 - Cancellation,,,,,mandatory,municipal_government,new,01/28/2020,01/28/2020,,,Major events cancelled or postponed,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200129_1621500.html,,Xinyi,,TRUE,,replacement,updated measure from L2 to L3
P14c,P14,China,municipal,Beijing,Individual,Wearing a mask,,general_public,,,,mandatory,health_ministry,new,2/2/2020,2/2/2020,,unknown,"If the mask is suspected to be contaminated, the removed mask should be sprinkled with 1000mg / L chlorine containing disinfectant solution until it is completely wet",Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200202_1622819.html,Puxi,Xinyi,,TRUE,,replacement,update from PPE to wearing a mask
